SPEC_CD,ITEM_CD,DESCRIPTION,UNIT
0100,7001,PREPARING ROW,AC
0100,7002,PREPARING ROW,STA
0100,7003,"PREP ROW (TREE REMOVE) (0""-12"" DIA)",EA
0100,7004,"PREP ROW (TREE REMOVE) (12""-24"" DIA)",EA
0100,7005,"PREP ROW (TREE REMOVE) (24""-36"" DIA)",EA
0100,7006,"PREP ROW (TREE REMOVE) (36""-48"" DIA)",EA
0100,7007,"PREP ROW (TREE REMOVE) (48""-60"" DIA)",EA
0100,7008,"PREP ROW (TREE REMOVE) (>61"" DIA)",EA
0100,7009,PREP ROW (TREE PRUNE AND TRIM),AC
0100,7010,PREP ROW (TREE PRUNE AND TRIM),STA
0100,7011,PREP ROW (HAND CLEARING),AC
0100,7012,PREP ROW (HAND CLEARING),STA
0100,7013,TREE PROTECTION (INSTALL),EA
0100,7014,TREE PROTECTION (INSTALL),LF
0100,7015,TREE PROTECTION (REMOVE),EA
0100,7016,TREE PROTECTION (REMOVE),LF
0100,7017,PREPARING ROW(OPT 1),STA
0100,7018,TREE PROTECTION (INSTALL),AC
0100,7019,TREE PROTECTION (REMOVE),AC
0103,7001,DISPOSAL OF WATER WELL,EA
0103,7002,DISPOSAL OF PETROLEUM OR SULFUR WELL,EA
0104,7001,REMOV CONC (PAV),SY
0104,7002,REMOV CONC (PAV),CY
0104,7003,REMOV CONC (MOWSTRIP),SY
0104,7004,REMOV CONC (MOWSTRIP),CY
0104,7005,REMOV CONC (MOWSTRIP),LF
0104,7006,REMOV CONC (RIPRAP),SY
0104,7007,REMOV CONC (RIPRAP),CY
0104,7008,REMOV CONC (MEDIANS),SY
0104,7009,REMOV CONC (MEDIANS),CY
0104,7010,REMOV CONC (PAVERS),SY
0104,7011,REMOV CONC (DRIVEWAYS),SY
0104,7012,REMOV CONC (DRIVEWAYS),CY
0104,7013,"REMOV CONC (SIDEWALK, RAMP OR SUP)",SY
0104,7014,"REMOV CONC (SIDEWALK, RAMP OR SUP)",CY
0104,7015,REMOV CONC (CURB RAMP),SY
0104,7016,REMOV CONC (CURB),LF
0104,7017,REMOV CONC (CURB & GUTTER),LF
0104,7018,REMOV CONC (CURB OR CURB & GUTTER),LF
0104,7019,REMOV CONC (GUTTER),LF
0104,7020,REMOV CONC (SAWCUT),LF
0104,7021,REMOV CONC (FLOORS_PORCH_PATIO),SY
0104,7022,REMOV CONC (FLOORS_PORCH_PATIO),CY
0104,7023,REMOV CONC (FOUNDATIONS),SY
0104,7024,REMOV CONC (FOUNDATIONS),CY
0104,7025,REMOV CONC (RETAINING WALLS),SY
0104,7026,REMOV CONC (MSE PANELS),SF
0104,7027,REMOV CONC (COPING),LF
0104,7028,REMOV CONC (WINGWALL),CY
0104,7029,REMOV CONC (HEADWALL),CY
0104,7030,REMOV CONC (APPR SLAB),SY
0104,7031,REMOV CONC (ABUTMENT),CY
0104,7032,REMOV CONC (ABUTMENT BACKWALL),CY
0104,7033,REMOV CONC (PILE ENCASEMENT),CY
0104,7034,REMOV CONC (BARRIER W/ FENCE),LF
0104,7035,REMOV CONC (TRAFFIC BARRIER),LF
0104,7036,REMOV CONC (RAIL),LF
0104,7037,REMOV CONC (RAIL W/ METAL ELEMENT),LF
0104,7038,REMOV CONC (MOVABLE BARRIER),LF
0104,7039,REMOV CONC (GND BOX W/ APRON),EA
0104,7040,REMOV CONC (DRAIN),SY
0104,7041,REMOV CONC (FLUME),SY
0104,7042,REMOV CONC (NOISE OR SCREEN WALL),LF
0104,7043,REMOV CONC (STONE SIDEWALK),SY
0104,7044,REMOV CONC (INTER ART CONC BLOCKS),SY
0104,7045,REMOV CONC (MISC),EA
0104,7046,REMOV CONC (MISC),SY
0104,7047,REMOV CONC (MISC),CY
0104,7048,REMOV CONC (OTHER APPURTENANCES),EA
0104,7049,REMOV CONC (OTHER APPURTENANCES),SY
0104,7050,REMOV CONC (OTHER APPURTENANCES),CY
0104,7051,REMOVING CONC (CMU WALL),SY
0105,7001,"RMV (0""-4"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7002,"RMV (2""-6"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7003,"RMV (3""-7"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7022,"RMV (2"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7023,"RMV (3"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7057,"RMV (6""-12"") TRT/UNTRT BASE & ASPH PAV",SY
0105,7081,"RMV (2"") TRT/UNTRT BASE & ASPH PAV",CY
0105,7082,"RMV (3"") TRT/UNTRT BASE & ASPH PAV",CY
0105,7129,"REMOVING STAB BASE AND ASPH PAV(0""-16"")",SY
0247,7001,FL BS (CMP IN PLC)(TY A GR 1-2),TON
0247,7002,FL BS (CMP IN PLC)(TY A GR 3),TON
0247,7003,FL BS (CMP IN PLC)(TY A GR 4),TON
0247,7004,FL BS (CMP IN PLC)(TY A GR 5),TON
0247,7005,FL BS (CMP IN PLC)(TY B GR 1-2),TON
0247,7006,FL BS (CMP IN PLC)(TY B GR 3),TON
0247,7007,FL BS (CMP IN PLC)(TY B GR 4),TON
0247,7010,FL BS (CMP IN PLC)(TY C GR 3),TON
0247,7136,FL BS (CMP IN PLACE)(TYA GR1-2)(IN VEH),CY
0247,7137,FL BS (CMP IN PLACE)(TY A GR 3)(IN VEH),CY
0247,7140,FL BS (CMP IN PLACE)(TYB GR1-2)(IN VEH),CY
0247,7141,FL BS (CMP IN PLACE)(TY B GR 3)(IN VEH),CY
